R,G,B,Skin_NonSkin
173,162,118,1
61,100,145,0
138,137,81,1
55,56,17,1
96,95,69,1
155,156,106,1
175,173,125,1
156,158,106,1
62,62,22,1
125,164,216,0
66,68,26,1
116,117,67,1
42,96,149,0
140,141,91,1
164,162,114,1
173,169,121,1
183,183,137,1
119,146,220,0
15,15,3,1
40,96,145,0
127,162,226,0
150,190,255,0
51,55,19,1
85,185,240,1
7,51,28,1
115,97,80,1
193,192,154,1
32,27,12,1
180,181,139,1
182,179,135,1
76,73,172,1
197,197,157,1
198,198,158,1
195,194,156,1
41,39,8,1
142,181,226,0
171,172,130,1
141,183,250,0
169,167,132,1
142,161,22,1
52,53,19,1
164,178,231,0
173,171,123,1
162,159,121,1
103,145,222,0
162,163,121,1
201,200,162,1
101,153,223,0
58,100,83,1
121,149,209,0
112,107,92,1
171,171,125,1
172,172,118,1
121,125,76,1
181,177,126,1
202,200,159,1
201,200,162,1
56,62,27,1
182,179,135,1
167,163,114,1
182,179,135,1
183,186,141,1
158,162,120,1
15,14,0,1
97,97,43,1
96,30,12,1
200,141,199,1
43,165,87,1
2,3,1,1
172,171,121,1
167,168,118,1
202,200,165,1
201,200,162,1
59,63,22,1
79,87,127,0
20,17,2,1
64,67,51,1
116,158,223,0
66,127,189,0
129,130,186,0
152,155,106,1
184,182,134,1
115,154,209,0
193,192,154,1
173,172,122,1
127,166,218,0
132,135,90,1
123,155,221,0
144,147,97,1
91,89,35,1
160,164,129,1
161,175,227,0
96,93,42,1
172,168,119,1
164,166,130,1
189,188,154,1
188,209,254,0
80,90,130,0
106,146,204,0
70,82,130,0
197,196,158,1
157,161,125,1
177,174,129,1
212,220,255,0
100,149,219,0
174,171,126,1
138,144,91,1
163,163,115,1
112,69,42,1
169,166,115,1
101,140,208,0
45,44,16,1
175,171,130,1
240,246,251,1
57,59,23,1
53,58,26,1
67,68,18,1
36,163,42,1
161,165,129,1
14,8,187,1
108,211,206,1
34,34,10,1
233,214,79,1
47,102,147,0
56,57,23,1
182,183,133,1
153,157,116,1
16,7,188,1
25,25,7,1
114,113,87,1
134,138,89,1
193,193,153,1
139,139,85,1
180,178,130,1
142,145,99,1
248,250,250,1
97,99,57,1
202,199,161,1
0,0,0,1
165,164,114,1
183,181,133,1
183,157,151,1
186,185,151,1
173,172,122,1
135,141,94,1
46,98,151,0
13,7,186,1
157,159,117,1
199,197,162,1
203,213,253,0
80,83,34,1
127,131,90,1
42,92,134,0
21,20,6,1
113,155,214,0
199,215,221,1
180,177,132,1
193,192,154,1
176,172,123,1
147,92,215,1
32,33,7,1
200,198,163,1
178,175,130,1
100,151,221,0
75,71,36,1
173,172,122,1
54,100,154,0
167,165,117,1
178,175,131,1
109,147,205,0
57,114,175,0
247,246,250,1
60,60,42,1
1,1,1,1
255,0,255,1
115,114,56,1
136,139,90,1
136,171,221,0
73,90,133,0
18,15,0,1
0,137,106,1
19,16,2,1
54,113,185,0
191,191,151,1
182,181,137,1
35,34,8,1
148,151,101,1
30,31,5,1
129,158,225,0
200,197,159,1
16,15,11,1
68,70,24,1
93,68,232,1
165,161,112,1
2,3,1,1
60,61,21,1
92,91,35,1
164,163,113,1
64,64,28,1
182,182,136,1
107,146,214,0
89,119,184,0
181,177,142,1
3,8,7,1
4,0,0,1
16,14,3,1
172,171,121,1
47,106,162,0
136,139,90,1
104,98,109,1
179,177,129,1
94,51,66,1
136,139,90,1
117,120,175,0
160,188,252,0
75,81,126,0
200,199,161,1
159,177,236,0
36,38,8,1
198,198,158,1
237,222,226,1
126,162,216,0
61,63,21,1
67,67,21,1
40,41,7,1
177,174,129,1
247,239,209,1
20,17,2,1
185,180,135,1
198,194,159,1
146,188,253,0
193,192,166,1
69,71,29,1
133,135,89,1
138,140,88,1
174,172,124,1
111,110,52,1
7,7,1,1
199,197,162,1
143,143,113,1
67,68,26,1
238,200,166,1
76,76,40,1
180,178,130,1
166,166,120,1
200,197,159,1
184,183,145,1
2,3,0,1
64,122,188,0
95,144,220,0
34,26,126,1
42,40,9,1
73,70,42,1
73,43,250,1
123,126,177,0
6,4,0,1
156,159,137,1
177,174,129,1
197,195,160,1
164,176,230,0
115,118,173,0
182,179,135,1
54,72,131,0
9,6,2,1
169,165,116,1
31,111,22,1
126,170,229,0
0,94,242,1
123,156,212,0
171,169,121,1
127,167,216,0
12,14,8,1
93,91,37,1
138,139,89,1
122,157,221,0
146,183,251,0
126,160,226,0
177,182,120,1
46,97,159,0
56,57,23,1
58,56,22,1
146,143,98,1
203,213,253,0
15,14,0,1
97,74,58,1
127,161,215,0
43,100,145,0
33,34,8,1
46,45,17,1
179,177,129,1
182,179,135,1
164,163,113,1
178,175,131,1
255,152,101,1
104,156,226,0
188,186,145,1
115,153,211,0
255,223,255,1
163,175,233,0
183,181,133,1
16,14,3,1
99,147,219,0
134,153,210,0
140,180,239,0
17,8,189,1
167,167,113,1
179,177,129,1
140,143,94,1
5,5,0,1
179,176,131,1
199,197,163,1
199,198,160,1
181,184,168,1
148,151,102,1
172,173,129,1
31,33,21,1
121,124,78,1
47,107,167,0
168,180,128,1
77,113,173,0
146,143,99,1
162,165,120,1
171,172,128,1
139,138,82,1
101,100,42,1
192,76,45,1
138,141,91,1
198,198,158,1
137,135,81,1
239,229,219,1
163,161,113,1
167,163,114,1
110,135,185,0
83,47,255,1
58,57,47,1
52,53,11,1
51,53,17,1
136,138,92,1
182,181,137,1
65,65,19,1
5,62,153,1
255,128,0,1
138,141,91,1
154,189,222,0
117,159,224,0
86,182,236,1
245,247,201,1
192,191,153,1
64,65,21,1
34,35,9,1
71,70,32,1
150,146,135,1
58,56,21,1
168,168,120,1
66,109,158,0
205,203,173,1
123,160,218,0
183,179,138,1
192,190,160,1
186,184,143,1
174,174,128,1
158,161,116,1
156,194,236,0
136,178,243,0
111,151,209,0
194,190,149,1
6,6,0,1
181,179,131,1
185,181,133,1
96,149,222,0
178,175,131,1
157,194,255,0
134,134,134,1
147,146,148,1
55,56,22,1
138,180,245,0
134,137,92,1
166,163,112,1
178,175,131,1
55,56,24,1
33,34,0,1
131,133,91,1
175,177,188,1
149,191,250,0
157,159,113,1
201,200,162,1
149,151,105,1
193,191,151,1
91,143,220,0
80,79,28,1
93,91,37,1
176,173,128,1
110,150,209,0
128,132,91,1
87,65,244,1
190,191,149,1
70,71,27,1
48,75,126,0
141,144,95,1
151,150,94,1
201,200,162,1
163,161,113,1
171,184,230,0
60,64,23,1
178,176,128,1
181,181,141,1
0,21,147,1
150,188,252,0
54,54,18,1
173,172,122,1
193,193,153,1
61,63,21,1
201,199,164,1
69,70,26,1
61,14,236,1
146,145,89,1
171,170,119,1
12,5,180,1
171,170,120,1
122,162,215,0
180,178,137,1
61,118,179,0
187,185,144,1
102,144,211,0
171,169,128,1
56,58,22,1
155,158,109,1
115,160,227,0
198,198,158,1
181,178,133,1
181,178,134,1
111,111,81,1
180,177,133,1
26,25,21,1
154,155,105,1
201,199,164,1
187,185,145,1
89,132,219,0
159,166,229,0
181,178,134,1
205,204,170,1
150,188,252,0
77,79,33,1
91,142,222,0
98,110,164,0
170,93,151,1
185,183,142,1
182,183,141,1
111,164,23,1
54,47,238,1
53,57,22,1
2,5,0,1
203,213,253,0
118,149,210,0
178,176,128,1
13,47,23,1
109,144,217,0
36,83,144,0
54,55,21,1
30,27,6,1
254,255,253,1
66,69,14,1
152,201,149,1
46,96,156,0
111,110,54,1
177,178,136,1
168,168,114,1
8,6,5,1
115,118,68,1
181,179,131,1
38,40,11,1
3,0,180,1
181,178,134,1
74,75,35,1
140,140,86,1
85,83,59,1
155,173,236,0
179,176,131,1
55,54,16,1
165,164,113,1
162,162,144,1
9,133,13,1
173,171,123,1
204,203,169,1
85,86,36,1
53,53,17,1
245,239,234,1
70,72,26,1
152,188,228,0
143,141,83,1
178,178,130,1
152,187,253,0
83,82,56,1
105,143,208,0
2,1,0,1
68,158,99,1
167,164,113,1
60,106,93,1
55,59,24,1
53,54,20,1
149,152,103,1
51,56,24,1
32,79,141,0
52,56,21,1
145,134,104,1
84,96,144,0
164,164,116,1
77,49,209,1
180,178,130,1
172,171,121,1
147,189,254,0
181,179,131,1
100,150,226,0
0,181,3,1
178,175,130,1
122,172,30,1
79,87,127,0
62,116,179,0
182,178,137,1
178,173,128,1
146,184,232,0
177,174,129,1
145,170,232,0
147,145,91,1
170,186,229,0
60,61,21,1
131,160,227,0
61,69,46,1
162,160,112,1
152,156,131,1
149,160,150,1
157,161,126,1
252,202,182,1
140,139,81,1
78,81,32,1
198,198,158,1
38,37,9,1
197,195,161,1
197,196,158,1
83,85,33,1
255,0,128,1
174,175,125,1
182,177,138,1
139,137,83,1
28,27,17,1
138,139,89,1
109,152,215,0
18,9,0,1
5,13,3,1
172,168,119,1
172,190,237,0
167,163,114,1
44,47,45,1
129,146,179,0
199,199,159,1
27,31,12,1
26,95,74,1
129,163,49,1
53,57,22,1
61,62,20,1
227,197,84,1
169,183,231,0
180,178,137,1
170,166,125,1
128,131,92,1
112,227,248,1
34,36,7,1
88,87,31,1
177,174,129,1
50,54,25,1
164,162,114,1
147,148,98,1
164,162,114,1
128,167,219,0
200,199,161,1
132,135,86,1
128,159,228,0
45,27,198,1
190,191,149,1
126,161,211,0
48,67,128,0
54,115,181,0
255,250,177,1
178,175,131,1
137,149,155,1
82,91,129,0
89,64,244,1
202,201,163,1
157,161,126,1
140,143,94,1
172,168,120,1
56,113,174,0
175,166,122,1
234,99,79,1
22,20,2,1
72,81,124,0
82,85,36,1
138,140,88,1
204,194,160,1
163,161,113,1
133,136,87,1
172,170,122,1
152,155,106,1
53,57,22,1
199,197,162,1
117,152,220,0
174,176,124,1
182,177,138,1
54,96,141,0
173,173,127,1
255,0,128,1
176,173,128,1
57,59,23,1
128,134,187,0
116,116,116,1
178,193,239,0
133,177,241,0
78,81,32,1
55,60,21,1
81,119,191,0
180,178,137,1
199,197,163,1
10,24,12,1
54,55,21,1
183,179,138,1
128,158,229,0
85,93,133,0
97,95,41,1
181,177,136,1
131,131,131,1
115,217,212,1
78,79,45,1
151,192,255,0
54,55,21,1
200,198,163,1
158,197,255,0
68,62,19,1
96,151,224,0
47,51,10,1
180,178,130,1
69,70,28,1
139,140,101,1
172,170,122,1
77,94,145,0
153,189,227,0
199,197,162,1
163,162,112,1
69,66,21,1
14,15,6,1
65,67,21,1
121,120,64,1
2,0,173,1
108,111,62,1
34,34,10,1
174,141,102,1
68,129,193,0
200,198,163,1
43,42,4,1
16,14,3,1
163,162,112,1
77,85,125,0
20,17,2,1
158,160,114,1
152,172,23,1
182,179,135,1
201,200,162,1
196,195,157,1
87,35,0,1
125,158,227,0
0,178,1,1
114,149,222,0
64,64,28,1
59,63,22,1
221,210,202,1
67,126,195,0
125,164,216,0
126,126,126,1
68,69,25,1
180,178,137,1
10,181,255,1
201,200,162,1
165,164,114,1
157,162,123,1
148,166,231,0
178,176,128,1
195,194,156,1
164,162,114,1
66,68,26,1
189,179,139,1
74,76,34,1
179,179,131,1
166,163,112,1
174,172,124,1
179,176,132,1
166,165,115,1
118,151,220,0
57,64,21,1
149,151,99,1
182,179,134,1
147,188,250,0
131,134,78,1
201,200,162,1
198,198,158,1
236,222,224,1
148,166,231,0
182,180,132,1
184,178,133,1
174,170,121,1
138,140,88,1
57,62,23,1
119,229,253,1
198,196,161,1
154,160,119,1
46,100,155,0
99,134,77,1
180,180,132,1
119,152,221,0
199,209,249,0
116,218,213,1
77,53,215,1
48,50,30,1
52,56,21,1
93,113,148,0
180,180,134,1
148,37,145,1
197,195,160,1
72,108,184,0
21,99,88,1
162,159,108,1
199,197,162,1
5,254,255,1
133,133,133,1
116,145,220,0
33,34,8,1
180,179,123,1
111,114,68,1
149,189,254,0
150,95,218,1
194,193,165,1
180,177,132,1
66,67,23,1
149,151,105,1
196,195,157,1
180,178,137,1
172,169,124,1
186,185,141,1
173,174,130,1
109,140,209,0
176,174,126,1
133,159,226,0
90,143,223,0
11,129,0,1
137,138,99,1
104,103,47,1
163,175,133,1
197,106,132,1
177,174,129,1
255,255,255,1
138,140,88,1
55,56,24,1
197,193,158,1
93,138,219,0
134,133,82,1
160,163,113,1
182,179,135,1
171,171,125,1
178,183,186,1
178,175,130,1
175,175,129,1
178,168,128,1
147,146,90,1
82,111,178,0
170,182,224,0
156,159,127,1
173,172,122,1
171,188,237,0
84,2,0,1
163,162,112,1
157,160,115,1
2,0,0,1
252,129,91,1
67,67,21,1
164,163,113,1
182,172,124,1
175,172,127,1
86,54,213,1
35,34,8,1
85,94,132,0
6,17,155,1
76,38,0,1
134,137,88,1
181,178,134,1
13,44,29,1
182,179,135,1
162,164,128,1
185,182,137,1
209,193,186,1
255,225,121,1
136,139,90,1
246,248,248,1
145,178,227,0
108,107,49,1
108,108,62,1
136,139,89,1
172,168,119,1
140,140,86,1
196,197,155,1
132,138,91,1
199,125,69,1
154,153,109,1
140,173,218,0
251,226,222,1
143,146,96,1
171,168,123,1
47,48,46,1
192,192,152,1
68,69,25,1
188,188,140,1
142,160,225,0
201,202,160,1
123,159,219,0
5,3,3,1
74,77,28,1
105,139,198,0
54,59,20,1
129,163,229,0
19,42,20,1
168,165,114,1
122,120,96,1
162,90,160,1
167,163,114,1
53,99,147,0
35,35,5,1
158,156,102,1
91,23,24,1
157,158,118,1
144,146,94,1
190,188,148,1
190,188,148,1
45,100,157,0
161,76,168,1
80,89,127,0
87,91,140,0
197,196,158,1
114,116,80,1
120,155,219,0
133,133,133,1
80,187,238,1
160,188,252,0
2,0,0,1
154,158,122,1
54,25,234,1
173,168,119,1
16,14,0,1
57,56,22,1
179,179,133,1
82,117,190,0
198,196,156,1
130,128,87,1
77,75,41,1
4,2,0,1
46,110,255,1
178,178,130,1
153,155,109,1
161,164,125,1
158,197,255,0
131,162,231,0
184,183,139,1
97,99,79,1
198,195,164,1
64,66,24,1
63,116,173,0
180,180,132,1
248,250,250,1
97,99,57,1
151,225,237,1
201,200,162,1
79,48,209,1
120,157,215,0
163,164,125,1
163,161,113,1
59,63,22,1
141,139,85,1
95,132,190,0
68,69,25,1
59,59,35,1
178,180,121,1
93,146,219,0
170,169,119,1
1,167,255,1
89,87,33,1
68,173,224,1
15,15,0,1
175,169,134,1
172,171,121,1
173,171,123,1
115,155,214,0
154,159,120,1
248,250,250,1
188,189,145,1
201,199,164,1
60,59,15,1
198,196,161,1
165,179,227,0
4,0,189,1
26,73,57,1
255,240,255,1
141,140,84,1
172,186,238,0
2,0,179,1
124,155,224,0
182,179,135,1
158,162,121,1
44,106,94,1
168,169,119,1
127,162,226,0
59,63,22,1
72,135,55,1
54,58,17,1
187,192,193,1
41,109,255,1
199,197,162,1
4,2,0,1
49,50,10,1
183,181,133,1
200,210,250,0
165,164,114,1
198,197,159,1
160,79,142,1
69,69,23,1
43,40,19,1
63,66,27,1
126,127,95,1
200,198,163,1
89,7,0,1
69,71,29,1
146,119,99,1
153,173,24,1
180,177,132,1
179,180,138,1
201,200,162,1
35,34,8,1
91,136,217,0
144,143,92,1
16,15,1,1
183,180,135,1
81,81,33,1
197,194,156,1
14,12,2,1
122,64,135,1
98,82,53,1
137,177,225,0
44,111,180,0
178,175,131,1
68,70,24,1
136,139,90,1
163,162,112,1
88,92,145,0
199,198,160,1
174,172,124,1
149,179,226,0
57,59,23,1
177,175,145,1
81,87,130,0
0,128,0,1
194,196,160,1
79,82,33,1
82,90,130,0
135,169,222,0
55,100,151,0
122,170,228,0
156,154,100,1
178,175,131,1
143,146,97,1
156,190,233,0
48,102,157,0
74,86,126,0
182,182,136,1
179,176,131,1
2,255,251,1
181,180,136,1
144,144,90,1
3,3,3,1
51,50,30,1
93,68,248,1
23,23,11,1
145,165,230,0
181,179,131,1
154,167,229,0
183,180,135,1
172,171,121,1
41,88,144,0
179,176,131,1
52,90,144,0
148,151,102,1
72,74,28,1
54,55,21,1
151,173,24,1
178,178,132,1
149,151,99,1
199,197,162,1
101,204,199,1
140,139,88,1
178,177,133,1
50,101,157,0
106,144,222,0
14,13,9,1
101,156,225,0
48,105,157,0
154,164,224,0
46,98,151,0
176,174,126,1
65,69,27,1
60,129,119,1
67,69,47,1
94,71,55,1
178,176,128,1
170,168,120,1
180,177,132,1
116,73,82,1
196,92,103,1
105,103,85,1
74,77,38,1
58,110,170,0
43,41,11,1
170,185,231,0
240,234,229,1
55,56,24,1
180,178,137,1
49,51,15,1
200,198,163,1
148,147,91,1
69,70,26,1
54,109,170,0
111,159,217,0
123,124,62,1
80,52,206,1
155,155,107,1
80,81,39,1
191,189,149,1
8,4,0,1
43,108,86,1
8,6,0,1
180,179,135,1
163,162,112,1
109,47,29,1
143,141,87,1
120,127,182,0
172,171,121,1
194,192,152,1
160,164,123,1
179,180,140,1
127,167,219,0
135,171,219,0
142,144,102,1
179,177,129,1
86,86,40,1
201,200,162,1
178,174,126,1
199,197,162,1
94,96,44,1
0,1,179,1
198,198,158,1
40,44,9,1
61,65,24,1
196,194,153,1
192,190,149,1
165,159,114,1
159,163,122,1
167,181,230,0
133,160,227,0
144,183,251,0
178,176,128,1
193,191,143,1
169,170,126,1
85,83,29,1
255,0,128,1
0,129,102,1
16,10,3,1
139,140,90,1
219,143,124,1
132,132,86,1
190,188,147,1
181,179,131,1
130,133,94,1
197,196,158,1
173,170,125,1
126,164,218,0
147,165,230,0
196,195,157,1
186,189,163,1
172,168,120,1
124,156,215,0
68,121,184,0
185,184,140,1
194,190,149,1
185,184,140,1
9,8,4,1
152,156,115,1
166,165,114,1
105,105,51,1
122,125,180,0
131,161,226,0
55,60,21,1
199,211,251,0
157,161,126,1
204,202,168,1
136,137,93,1
164,163,113,1
205,204,170,1
102,94,41,1
0,130,105,1
239,201,166,1
61,62,20,1
199,197,162,1
183,183,137,1
43,96,153,0
103,108,163,0
111,87,253,1
32,32,2,1
34,34,10,1
159,162,123,1
64,65,23,1
146,147,97,1
101,103,57,1
180,177,133,1
6,6,0,1
110,225,246,1
139,158,19,1
174,172,124,1
197,195,160,1
167,185,232,0
49,50,11,1
64,65,21,1
234,191,158,1
201,200,162,1
54,57,18,1
162,161,111,1
133,140,95,1
165,164,114,1
57,125,40,1
178,178,132,1
67,82,138,0
178,176,128,1
50,98,150,0
70,71,45,1
0,255,0,1
244,248,249,1
198,124,68,1
195,193,152,1
153,171,232,0
183,180,136,1
26,24,0,1
60,77,128,0
58,57,23,1
196,195,174,1
172,171,121,1
129,171,224,0
177,150,130,1
69,71,29,1
193,194,152,1
41,95,66,1
140,138,80,1
178,178,132,1
40,91,153,0
143,153,217,0
255,0,255,1
176,177,133,1
169,166,122,1
199,197,162,1
205,217,253,0
17,11,6,1
223,228,255,0
176,174,126,1
219,189,218,1
120,122,176,0
87,32,19,1
123,125,83,1
141,178,228,0
112,111,53,1
187,189,159,1
148,162,221,0
87,65,231,1
2,0,67,1
169,168,118,1
56,60,24,1
180,180,132,1
173,189,236,0
148,167,228,0
48,105,161,0
44,91,147,0
45,42,37,1
50,107,152,0
0,0,1,1
182,179,141,1
60,77,134,0
107,111,164,0
67,129,189,0
172,169,125,1
3,4,2,1
24,25,9,1
134,139,88,1
192,194,172,1
147,182,232,0
56,56,42,1
32,32,2,1
9,9,0,1
153,187,233,0
189,188,144,1
199,197,162,1
6,21,144,1
96,141,215,0
178,178,132,1
183,184,140,1
149,185,221,0
21,19,1,1
177,174,130,1
134,163,230,0
133,134,92,1
53,54,20,1
183,183,137,1
250,254,255,1
173,97,179,1
90,132,121,1
131,168,220,0
55,56,24,1
62,66,24,1
134,138,103,1
198,198,158,1
178,178,132,1
184,186,140,1
115,114,56,1
16,14,6,1
173,170,125,1
126,168,235,0
62,99,143,0
129,131,89,1
129,131,131,1
33,31,30,1
38,86,152,0
55,56,22,1
52,54,18,1
159,162,123,1
86,138,215,0
36,211,244,1
204,213,255,0
157,174,223,0
154,157,108,1
58,99,148,0
50,52,16,1
201,200,162,1
61,61,21,1
55,56,22,1
197,196,158,1
201,200,162,1
172,170,122,1
45,66,44,1
138,139,89,1
196,192,157,1
200,199,161,1
162,200,234,0
38,40,4,1
179,177,129,1
79,92,130,0
178,176,128,1
95,23,35,1
213,196,187,1
101,136,199,0
63,91,151,0
179,177,129,1
122,162,210,0
174,171,126,1
158,160,114,1
171,170,120,1
116,160,224,0
66,69,24,1
159,162,123,1
182,178,137,1
168,168,120,1
163,163,115,1
61,63,21,1
164,77,163,1
112,122,236,1
66,121,178,0
83,91,131,0
171,168,124,1
55,58,19,1
57,59,23,1
179,177,129,1
107,106,48,1
198,196,161,1
37,88,61,1
0,0,0,1
192,191,153,1
20,16,5,1
180,174,129,1
51,53,24,1
141,161,18,1
182,179,135,1
203,213,253,0
33,34,8,1
130,132,86,1
164,163,113,1
174,108,189,1
236,193,160,1
57,98,147,0
153,155,103,1
230,239,243,1
172,169,124,1
55,116,182,0
2,3,1,1
178,177,127,1
144,143,87,1
134,160,227,0
126,143,169,0
35,34,8,1
59,106,162,0
87,30,15,1
104,100,65,1
97,140,221,0
255,0,255,1
178,178,132,1
143,144,94,1
152,155,105,1
5,3,0,1
190,191,147,1
172,172,126,1
137,135,81,1
136,135,77,1
152,149,98,1
61,61,21,1
102,122,187,0
170,169,119,1
49,74,130,0
110,132,160,0
95,90,152,1
199,197,162,1
113,150,212,0
176,178,126,1
179,177,129,1
82,82,34,1
6,0,190,1
0,0,182,1
182,192,239,0
175,144,99,1
163,167,132,1
95,79,62,1
173,172,122,1
196,101,222,1
192,164,147,1
174,172,138,1
54,103,153,0
182,181,137,1
111,109,61,1
116,117,67,1
31,31,1,1
57,62,23,1
201,199,164,1
91,97,150,0
183,182,138,1
1,133,103,1
196,195,157,1
53,54,20,1
60,121,189,0
142,142,94,1
178,175,131,1
117,71,7,1
17,53,29,1
138,138,90,1
24,167,204,1
61,61,21,1
2,0,0,1
31,30,20,1
5,254,255,1
146,168,20,1
57,58,19,1
34,36,6,1
198,197,159,1
200,195,162,1
149,129,112,1
